Observed,Trend,Seasonal,Residual
100908.0,100927.6,0.40152554574093324,-20.001525545746755
100949.0,100929.33,2.709758251980214,16.96024174801804
100947.0,100931.16000000002,2.4693332400941967,13.370666759887758
100946.0,100932.95000000001,2.795015610761874,10.254984389226484
100941.0,100934.5,3.115261739816974,3.384738260183026
100905.0,100935.69,4.388662231288306,-35.078662231290636
100933.0,100936.98999999999,0.9566935952420392,-4.946693595232726
100927.0,100938.86,1.4372752947682033,-13.297275294768784
100923.0,100940.9,2.0391992761732807,-19.93919927616746
100942.0,100942.56999999999,3.2995125193220938,-3.8695125193145268
100921.0,100943.95999999999,0.76801368193451,-23.72801368192636
100931.0,100945.69,1.561279945218161,-16.25127994522049
100945.0,100947.56999999999,1.4027341279648522,-3.972734127957285
100941.0,100949.07,2.6627118006465818,-10.732711800653567
100958.0,100950.42,0.6701391377558572,6.909860862245889
100969.0,100952.07,0.38783493124059243,16.54216506875242
100967.0,100953.64,1.6503629394907722,11.70963706050981
100962.0,100955.13999999998,1.4577902766011022,5.402209723414032
100957.0,100956.5,2.98937868753592,-2.48937868753592
100965.0,100957.71000000002,1.6210488946785868,5.668951105300458
100963.0,100958.88,1.1092988963020993,3.0107011036932443
100958.0,100959.55,-0.3856517380063959,-1.1643482619965144
100970.0,100959.95,0.1781996133442475,9.871800386658663
100963.0,100960.38000000002,1.6238077214524345,0.996192278528357
100975.0,100960.63,-0.3025436298988581,14.672543629894202
100971.0,100961.26999999999,1.3767806944247347,8.353219305585743
100966.0,100962.21,-0.14909768395237727,3.9390976839459744
100982.0,100962.93,-1.0880841704387731,20.158084170445758
100971.0,100963.61,-1.3798409271979408,8.76984092719736
100963.0,100964.30999999998,-1.8398409271959864,0.5298409272128666
100919.0,100965.6,-1.6344355217894404,-44.96556447821638
100976.0,100967.03,-2.4730841704398276,11.443084170440992
100990.0,100968.13,-1.562813900168566,23.43281390016391
100984.0,100969.51,-1.7868679542222503,16.276867954227487
100959.0,100970.81999999999,-0.802138224493665,-11.017861775498767
100977.0,100972.17,-1.9296382244926504,6.759638224494397
100991.0,100973.62,-0.09153011638537212,17.471530116390028
100978.0,100974.77000000002,-2.9470706569260776,6.177070656907452
100982.0,100976.01000000002,-3.6349760623314675,9.624976062307603
100982.0,100977.13,-2.1738949812493678,7.043894981244711
100984.0,100977.97,-2.28909768395268,8.319097683951515
100981.0,100978.89,-1.6293003866557172,3.739300386656299
100986.0,100979.86,-3.4877463326017812,9.627746332601198
100976.0,100980.91,-3.283151738006801,-1.6268482619966913
100986.0,100982.13,-5.086049479806725,8.956049479802068
100987.0,100983.34000000001,-2.7827003379867623,6.442700337975703
100962.0,100984.56999999999,-2.0196603127626105,-20.550339687229823
100973.0,100985.88000000002,-0.61136049243296,-12.268639507586249
100974.0,100987.36,0.7700936903139695,-14.13009369031455
100968.0,100988.73999999999,1.5288633093025177,-22.268863309293206
100967.0,100990.04,0.40152554574093324,-23.44152554573453
100984.0,100991.42,2.709758251980214,-10.129758251978467
100984.0,100992.61,2.4693332400941967,-11.07933324009478
100977.0,100994.04,2.795015610761874,-19.83501561075547
100980.0,100995.71999999999,3.115261739816974,-18.835261739803585
100995.0,100997.77,4.388662231288306,-7.15866223129238
100986.0,100999.71,0.9566935952420392,-14.666693595248443
100984.0,101000.94,1.4372752947682033,-18.37727529477053
101004.0,101002.31,2.0391992761732807,-0.34919927617095237
100992.0,101004.17000000001,3.2995125193220938,-15.469512519334899
101006.0,101006.18000000001,0.76801368193451,-0.948013681942077
100991.0,101007.53000000001,1.561279945218161,-18.09127994523155
101000.0,101008.4,1.4027341279648522,-9.802734127959031
101010.0,101009.28,2.6627118006465818,-1.9427118006454176
101001.0,101010.22,0.6701391377558572,-9.890139137757021
101010.0,101011.29999999999,0.38783493124059243,-1.687834931228951
101018.0,101012.43999999999,1.6503629394907722,3.9096370605214514
101008.0,101013.7,1.4577902766011022,-7.157790276598192
101016.0,101015.0,2.98937868753592,-1.98937868753592
101028.0,101016.10999999999,1.6210488946785868,10.268951105335383
101021.0,101017.08,1.1092988963020993,2.8107011036961547
101023.0,101018.53000000001,-0.3856517380063959,4.855651737993008
101036.0,101020.31999999999,0.1781996133442475,15.50180038666332
101045.0,101022.05,1.6238077214524345,21.326192278544656
101031.0,101023.77999999998,-0.3025436298988581,7.5225436299145745
101045.0,101025.68000000002,1.3767806944247347,17.943219305553146
101030.0,101027.96,-0.14909768395237727,2.1890976839459744
101037.0,101030.16,-1.0880841704387731,7.92808417043528
101059.0,101032.01000000001,-1.3798409271979408,28.369840927188626
101043.0,101033.76000000002,-1.8398409271959864,11.079840927172121
101044.0,101035.38000000002,-1.6344355217894404,10.254435521770231
101045.0,101037.10000000002,-2.4730841704398276,10.373084170419455
101044.0,101039.07,-1.562813900168566,6.492813900161581
101067.0,101040.75,-1.7868679542222503,28.03686795422225
101062.0,101042.47,-0.802138224493665,20.3321382244925
101075.0,101044.34000000001,-1.9296382244926504,32.58963822448159
