seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff
1889,172900,41121,100609,-29.04870547201089,71.20931054097994,18.0
1892,172962,41136,100613,-14.363449577031489,74.09970406719347,22.0
1893,172978,41149,100628,-1.5807013758465835,88.53618664176739,16.0
1894,172997,41123,100636,-27.25133599830055,95.90470680315906,19.0
1895,173013,41122,100630,-27.51874454215117,89.34090244141929,16.0
1896,173030,41130,100628,-19.32773433126392,86.88539032076781,17.0
1897,173053,41134,100622,-16.299248106507864,80.74578829433935,23.0
1898,173087,41121,100631,-28.83716153530042,89.08682559165531,34.0
1899,173092,41126,100624,-23.678569885713085,81.66945367629499,5.0
1901,173130,41128,100623,-20.95994171020093,79.72045440037243,18.0
1903,173179,41115,100643,-33.79957734832281,98.78241875845478,29.0
1904,173193,41124,100638,-24.699767935558526,93.34716157429408,14.0
1906,173240,41135,100647,-13.424414489374788,101.39426370635502,27.0
1907,173252,41139,100639,-9.356425983502692,92.93762976604944,12.0
1909,173301,41124,100649,-25.0898987063642,101.8768366099593,29.0
1910,173316,41117,100632,-31.7547185916876,84.47697369865102,15.0
1911,173331,41130,100646,-18.56956793150829,98.30332334512418,15.0
1912,173364,41109,100639,-39.42357259499995,90.73562246553108,33.0
1914,173402,41124,100648,-24.08919099248253,98.6063606565937,18.0
1916,173438,41123,100647,-24.56769101795099,96.94710172168594,16.0
1917,173456,41116,100647,-31.09265893335464,96.29902804427606,18.0
1918,173472,41118,100641,-29.137284079196775,89.78688128582591,16.0
1919,173497,41131,100651,-16.082933059514623,99.33794145418294,25.0
1920,173521,41125,100649,-22.209603321611237,96.90239930278489,24.0
1922,173557,41123,100637,-24.232663913619877,84.118899129013,16.0
1924,173594,41116,100628,-30.42031080118227,74.19853074468449,17.0
1925,173616,41114,100610,-32.2061105386099,55.75491739860644,22.0
1926,173631,41108,100612,-38.19936053550616,57.59429841295003,15.0
1930,173715,41108,100580,-37.064281685898045,24.48906716598737,24.0
1931,173730,41103,100590,-42.39630981493109,34.3200075893561,15.0
1932,173760,41096,100571,-49.22847444329556,15.74405643761648,30.0
1933,173776,41097,100566,-48.05606251091993,10.66510045826059,16.0
1934,173792,41094,100584,-50.48981595327484,28.38185328649541,16.0
1936,173835,41095,100582,-48.58394886059196,25.880905013760987,23.0
1938,173877,41096,100581,-47.83405322109169,24.92554493902861,22.0
1939,173892,41092,100573,-51.03917712996456,16.95559364484027,15.0
1940,173922,41082,100580,-60.72148483149996,23.71519707363299,30.0
1941,173944,41094,100586,-48.212270471445606,29.266929774778102,22.0
1942,173967,41099,100579,-43.50222212782219,22.27418110613976,23.0
1944,174004,41102,100584,-40.52357417911982,27.09688119869415,17.0
1946,174041,41097,100583,-45.09531853054498,25.73691380132368,17.0
1947,174058,41075,100596,-66.59916115811633,38.61875423074636,17.0
1948,174074,41093,100580,-48.33914937527922,22.62775671797313,16.0
1949,174102,41082,100593,-58.82189018998706,35.4254756239943,28.0
1950,174112,41089,100590,-51.48850254577184,32.242275604218065,10.0
1954,174202,41098,100591,-41.46685199491712,32.56248921052957,30.0
1955,174217,41085,100594,-54.00366704667447,35.425729720331574,15.0
1956,174249,41091,100589,-47.58800553584286,30.270214399566807,32.0
1957,174255,41086,100575,-52.36872491319578,16.156858600324085,6.0
1960,174318,41090,100587,-48.600361076677466,27.916142858912167,23.0
1961,174336,41093,100591,-45.156842535559264,32.00507523244054,18.0
1962,174354,41087,100605,-50.92050267168654,45.55277425941777,18.0
1963,174376,41078,100598,-59.64331364870512,38.12501763309239,22.0
1964,174391,41084,100590,-53.378210565286224,29.9961582906586,15.0
1966,174446,41095,100588,-41.56043615569929,27.91129222862625,35.0
1968,174482,41076,100589,-59.49407655347938,28.497008977437385,16.0
1969,174497,41079,100589,-56.417396932552855,28.18568710799409,15.0
1970,174512,41081,100569,-53.9981011396504,8.210549245330405,15.0
1971,174536,41075,100553,-60.003856276190966,-7.562887865062076,24.0
1977,174651,41081,100524,-52.17238925278691,-36.13392690678224,15.0
1978,174681,41070,100525,-63.30462767353499,-34.56270599303261,30.0
1979,174693,41055,100524,-78.05351459222045,-35.287887414593,12.0
1983,174774,41057,100527,-74.7174147867161,-32.151700331710344,21.0
1984,174805,41062,100529,-69.09411880032631,-29.724935754581143,31.0
1985,174820,41068,100514,-62.94008588329066,-44.53092796611333,15.0
1986,174834,41060,100538,-70.59111091601804,-20.427875398304774,14.0
1989,174906,41065,100530,-64.68642914008157,-28.12533176726142,32.0
1990,174922,41071,100541,-57.79309549801436,-17.39782242973051,16.0
1991,174937,41065,100550,-63.811692436471056,-8.469587466622375,15.0
1992,174952,41055,100553,-73.00147201746059,-5.051495308374578,15.0
1993,174969,41072,100531,-55.982133126021296,-26.762800727941983,17.0
1995,175016,41047,100541,-80.3213000910813,-16.830299877593177,27.0
1998,175079,41056,100547,-69.82345400384987,-10.99954435098504,23.0
1999,175095,41061,100556,-65.24615735662155,-2.0180328019898126,16.0
2000,175125,41066,100574,-60.31950534021338,16.180310030225364,30.0
2002,175152,41053,100569,-72.88069811460585,11.168442137759886,7.0
2004,175194,41070,100579,-54.89049976894006,20.865731867575043,22.0
2005,175231,41051,100574,-73.27707750855241,16.046080222649433,37.0
2006,175233,41072,100581,-52.00314397970917,22.921004580368084,2.0
2008,175290,41068,100586,-54.89128120934017,27.45876402849165,37.0
2009,175298,41057,100588,-65.63107181224565,29.29522727569641,8.0
